USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 128672  7332 ?        Ss   09:01   0:03 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root       347  0.0  0.0      0     0 ?        S    09:01   0:00 [scsi_eh_7]
root       348  0.0  0.0      0     0 ?        S<   09:01   0:00 [scsi_tmf_7]
root       349  0.0  0.0      0     0 ?        S    09:01   0:00 [scsi_eh_8]
root       350  0.0  0.0      0     0 ?        S<   09:01   0:00 [scsi_tmf_8]
root       353  0.0  0.0      0     0 ?        S    09:01   0:00 [kworker/u8:5]
root       354  0.0  0.0      0     0 ?        S    09:01   0:00 [kworker/u8:6]
root       439  0.0  0.0      0     0 ?        S<   09:01   0:00 [kdmflush]
root       440  0.0  0.0      0     0 ?        S<   09:01   0:00 [bioset]
root       450  0.0  0.0      0     0 ?        S<   09:01   0:00 [kdmflush]
root       451  0.0  0.0      0     0 ?        S<   09:01   0:00 [bioset]
root       465  0.0  0.0      0     0 ?        S<   09:01   0:00 [bioset]
root       466  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfsalloc]
root       467  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs_mru_cache]
root       468  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-buf/dm-0]
root       469  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-data/dm-0]
root       470  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-conv/dm-0]
root       471  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-cil/dm-0]
root       472  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-reclaim/dm-]
root       473  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-log/dm-0]
root       474  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-eofblocks/d]
root       475  0.0  0.0      0     0 ?        S    09:01   0:00 [xfsaild/dm-0]
root       476  0.0  0.0      0     0 ?        S<   09:01   0:00 [kworker/2:1H]
root       560  0.0  0.0  39424  6080 ?        Ss   09:01   0:00 /usr/lib/systemd/systemd-journald
root       582  0.0  0.0 201108  4144 ?        Ss   09:01   0:00 /usr/sbin/lvmetad -f
root       597  0.0  0.0  49404  5864 ?        Ss   09:01   0:00 /usr/lib/systemd/systemd-udevd
root       724  0.0  0.0      0     0 ?        SN   09:01   0:00 [kipmi0]
root       725  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/16-i801_smb]
root       726  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/491-mei_me]
root       727  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/492-mei_me]
root       731  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/16-i2c_desi]
root       735  0.0  0.0      0     0 ?        S<   09:01   0:00 [kworker/0:1H]
root       742  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/17-i2c_desi]
root       744  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/16-idma64.0]
root       782  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/17-idma64.1]
root       789  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-buf/sda2]
root       790  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-data/sda2]
root       791  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-conv/sda2]
root       792  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-cil/sda2]
root       793  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-reclaim/sda]
root       794  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-log/sda2]
root       795  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-eofblocks/s]
root       798  0.0  0.0      0     0 ?        S    09:01   0:00 [xfsaild/sda2]
root       805  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/20-idma64.2]
root       916  0.0  0.0      0     0 ?        S<   09:01   0:00 [kdmflush]
root       917  0.0  0.0      0     0 ?        S<   09:01   0:00 [bioset]
root       922  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-buf/dm-2]
root       923  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-data/dm-2]
root       924  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-conv/dm-2]
root       925  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-cil/dm-2]
root       926  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-reclaim/dm-]
root       927  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-log/dm-2]
root       928  0.0  0.0      0     0 ?        S<   09:01   0:00 [xfs-eofblocks/d]
root       929  0.0  0.0      0     0 ?        S    09:01   0:00 [xfsaild/dm-2]
root       958  0.0  0.0  55532   856 ?        S<sl 09:01   0:00 /sbin/auditd
root       960  0.0  0.0  84556   888 ?        S<sl 09:01   0:00 /sbin/audispd
root       962  0.0  0.0  55620  1392 ?        S<   09:01   0:00 /usr/sbin/sedispatch
root       964  0.0  0.0      0     0 ?        S<   09:01   0:00 [rpciod]
